Ausztria;1841;3641;66037;2,0;18,1
Belgium,Luxemburg;50;366;6072;7,3;16,6
Bulgária;341;383;3486;1,1;9,1
Csehország;482;787;7728;1,6;9,8
Dánia;30;276;4441;9,1;16,1
EgyesültKirályság;82;850;11720;10,4;13,8
Finnország;17;131;3410;7,7;26,1
Franciaország;84;717;14246;8,5;19,9
Görögország;20;360;4365;17,7;12,1
Hollandia;109;1018;12662;9,3;12,4
Horvátország;148;150;1226;1,0;8,2
Írország;8;72;1244;9,2;17,3
Lengyelország;733;1550;15663;2,1;10,1
Németország;771;4224;77309;5,5;18,3
Olaszország;145;483;11091;3,3;23,0
Oroszország;11;21;470;2,0;22,4
Románia;2191;3375;25587;1,5;7,6
Spanyolország,Portugália;42;268;6017;6,4;22,5
Svédország;35;319;5367;9,2;16,8
Szlovákia;2082;2429;20098;1,2;8,3
Szlovénia;61;62;879;1,0;14,1
Ukrajna;393;426;10257;1,1;24,1
